gender,description,link_color,profileimage,sidebar_color,text,cln_desc,cln_text
male,i sing my own rhythm.,08C2C2,https://pbs.twimg.com/profile_images/414342229096808449/fYvzqXN7_normal.png,FFFFFF,Robbie E Responds To Critics After Win Against Eddie Edwards In The #WorldTitleSeries https://t.co/NSybBmVjKZ,i sing my own rhythm.,robbie e responds to critics after win against eddie edwards in the worldtitleseries https://t.co/nsybbmvjkz
male,I'm the author of novels filled with family drama and romance.,0084B4,https://pbs.twimg.com/profile_images/539604221532700673/WW16tBbU_normal.jpeg,C0DEED,â€œIt felt like they were my friends and I was living the story with themâ€ù https://t.co/arngE0YHNO #retired #IAN1 https://t.co/CIzCANPQFz,i'm the author of novels filled with family drama and romance.,â˚Ôit felt like they were my friends and i was living the story with themâ˚ https://t.co/arnge0yhno retired ian1 https://t.co/cizcanpqfz
male,louis whining and squealing and all,ABB8C2,https://pbs.twimg.com/profile_images/657330418249658368/SBLCXdF7_normal.png,C0DEED,i absolutely adore when louis starts the songs it hits me hard but it feels good,louis whining and squealing and all,i absolutely adore when louis starts the songs it hits me hard but it feels good
male,"Mobile guy.  49ers, Shazam, Google, Kleiner Perkins, Yahoo!, Sprint PCS, AirTouch, Air Force.  Stanford GSB, UVa.  Dad, Husband, Brother.  Golfer.",0084B4,https://pbs.twimg.com/profile_images/259703936/IMG_8444_normal.JPG,C0DEED,Hi @JordanSpieth - Looking at the url - do you use @IFTTT?!  Don't typically see an advanced user on the @PGATOUR! https://t.co/H68ou5PE9L,mobile guy 49ers shazam google kleiner perkins yahoo! sprint pcs airtouch air force stanford gsb uva dad husband brother golfer.,hi jordanspieth looking at the url do you use ifttt? don't typically see an advanced user on the pgatour https://t.co/h68ou5pe9l
male,The secret of getting ahead is getting started.,0000FF,https://pbs.twimg.com/profile_images/508875440107180032/apOHVAt8_normal.jpeg,C0DEED,"Gala Bingo clubs bought for Â£241m: The UK's largest High Street bingo operator, Gala, is being taken over byâ€_ https://t.co/HzeeykJUd3",the secret of getting ahead is getting started.,gala bingo clubs bought for Â£241m the uk's largest high street bingo operator gala is being taken over byâ˚_ https://t.co/hzeeykjud3
female,"Renaissance art historian, University of Nottingham; fuelled by Haribo, partial to coffee and with a soft spot for Renaissance China. National Teaching Fellow.",9266CC,https://pbs.twimg.com/profile_images/513327289858535424/vrc79hs1_normal.jpeg,FFFFFF,@Evielady just how lovely is the tree this year! Never seen it as gorgeous as this #Autumn #colour,renaissance art historian university of nottingham fuelled by haribo partial to coffee and with a soft spot for renaissance china national teaching fellow.,@evielady just how lovely is the tree this year never seen it as gorgeous as this autumn colour
female,Senior '16 . XI-XII-MMXIV.,0084B4,https://pbs.twimg.com/profile_images/651227967595483140/Mes6SNEO_normal.png,FFFFFF,Just put my ass on the line for you and this is how you repay me.,senior 16 xi-xii-mmxiv.,just put my ass on the line for you and this is how you repay me.
female,"im just here for tÃ¸p, bo burnham, and disney world.",0084B4,https://pbs.twimg.com/profile_images/655943646815113216/gnRGy6pf_normal.jpg,FFFFFF,will i even need sound effects for the diviners tonight,im just here for tÏ¸p bo burnham and disney world.,will i even need sound effects for the diviners tonight
male,"Over enthusiastic F1 fan.  Model collector, music fan and a film fanatic.  Also an Aspergian.",0084B4,https://pbs.twimg.com/profile_images/613850179880517634/m_B2ujkb_normal.jpg,C0DEED,@coolyazzy94 Ditto - I'm still learning the favourites and retweet stuff - least it sucks less than Facebook haha :P,over enthusiastic f1 fan model collector music fan and a film fanatic also an aspergian.,@coolyazzy94 ditto i'm still learning the favourites and retweet stuff least it sucks less than facebook haha p
female,He bled and died to take away my sins â€ ,D41EBF,https://pbs.twimg.com/profile_images/653367929375977472/WyEqOjS__normal.jpg,65B0DA,All the girls went to sleep and the guys just sat in the floor and watched us_Ÿ˜‚_Ÿ˜‚,he bled and died to take away my sins ˚Í,all the girls went to sleep and the guys just sat in the floor and watched us_˘˜‚_˘˜‚
